Algorithm,classification,train_acc,train_prec,train_rec,train_f1,val_acc,val_prec,val_rec,val_f1,test_acc,test_prec,test_rec,test_f1
Naive Bayes,PR,0.8544776119402985,0.8594423873162629,0.8544776119402985,0.8555096264690103,0.34782608695652173,0.12098298676748583,0.34782608695652173,0.17952314165497896,0.3,0.09,0.3,0.13846153846153844
Decision Tree,PR,0.664179104477612,0.6653054173576562,0.664179104477612,0.6647054389629606,0.7608695652173914,0.7647940735514596,0.7608695652173914,0.7624662245148611,0.6428571428571429,0.6477272727272728,0.6428571428571429,0.6451690242148166
KNN,PR,0.6380597014925373,0.6276359978032339,0.6380597014925373,0.6280320186724763,0.6086956521739131,0.6204278812974465,0.6086956521739131,0.6134579768939059,0.6428571428571429,0.6071428571428571,0.6428571428571429,0.619047619047619
Logistic Regression,PR,0.8880597014925373,0.8885116568321185,0.8880597014925373,0.8869646549961995,0.8260869565217391,0.8269394714407502,0.8260869565217391,0.8190993788819875,0.6428571428571429,0.6678321678321678,0.6428571428571429,0.6522534889041409
Random Forest,PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6857142857142857,0.6618181818181819,0.6857142857142857,0.6685897435897435
SVM,PR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.7971014492753624,0.7142857142857143,0.6086286594761171
Naive Bayes,PR_HER2,0.9216417910447762,0.9360059773820409,0.9216417910447762,0.9258482025960423,0.13043478260869565,0.9033816425120773,0.13043478260869565,0.06418219461697722,0.2571428571428571,0.6747252747252748,0.2571428571428571,0.1797619047619048
Decision Tree,PR_HER2,0.9253731343283582,0.9221446415988727,0.9253731343283582,0.9229140339492469,0.9782608695652174,0.9818840579710144,0.9782608695652174,0.9791148196945297,0.5428571428571428,0.6130566935377296,0.5428571428571428,0.5730502727406752
KNN,PR_HER2,0.8768656716417911,0.8630421478114829,0.8768656716417911,0.8650510772364193,0.9130434782608695,0.9015840916750927,0.9130434782608695,0.9032091097308489,0.7,0.6015625,0.7,0.6470588235294118
Logistic Regression,PR_HER2,0.917910447761194,0.9175528744917825,0.917910447761194,0.9079318713635214,0.9782608695652174,0.9787784679089028,0.9782608695652174,0.9771840987136953,0.7571428571428571,0.6123949579831933,0.7571428571428571,0.6771196283391405
Random Forest,PR_HER2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7857142857142857,0.6173469387755102,0.7857142857142857,0.6914285714285714
SVM,PR_HER2,0.9925373134328358,0.9926024897347325,0.9925373134328358,0.9924603953914638,1.0,1.0,1.0,1.0,0.7142857142857143,0.6043956043956044,0.7142857142857143,0.6547619047619047
Naive Bayes,PR_HER2_ER,0.9328358208955224,0.932316214977743,0.9328358208955224,0.9323282373557316,0.34782608695652173,0.5550724637681159,0.34782608695652173,0.281718789727943,0.3,0.7852080123266564,0.3,0.29328434374362117
Decision Tree,PR_HER2_ER,0.8992537313432836,0.8996392566775944,0.8992537313432836,0.8994322795958098,0.9130434782608695,0.9197463768115943,0.9130434782608695,0.9145395044413276,0.6285714285714286,0.7551448551448552,0.6285714285714286,0.6715022851245763
KNN,PR_HER2_ER,0.7723880597014925,0.7618966877368236,0.7723880597014925,0.7519988184522587,0.7391304347826086,0.7211098398169336,0.7391304347826086,0.714737436476567,0.7571428571428571,0.7308352849336456,0.7571428571428571,0.7428571428571429
Logistic Regression,PR_HER2_ER,0.9589552238805971,0.9613686188982692,0.9589552238805971,0.9594261301447584,0.9565217391304348,0.9619565217391305,0.9565217391304348,0.9572697522206638,0.8571428571428571,0.891941391941392,0.8571428571428571,0.8675324675324675
Random Forest,PR_HER2_ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8714285714285714,0.8637362637362637,0.8714285714285714,0.848616519778643
SVM,PR_HER2_ER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7857142857142857,0.7927511085405822,0.7857142857142857,0.7890683229813664
